Ethereum Historical Data - Investing.com(1)
Date;Price
Apr 11, 2020;158.18
Apr 10, 2020;157.86
Apr 09, 2020;169.68
Apr 08, 2020;173.00
Apr 07, 2020;164.71
Apr 06, 2020;171.06
Apr 05, 2020;142.58
Apr 04, 2020;144.01
Apr 03, 2020;141.14
Apr 02, 2020;141.30
Apr 01, 2020;135.66
Mar 31, 2020;132.86
Mar 30, 2020;132.15
Mar 29, 2020;125.24
Mar 28, 2020;131.03
Mar 27, 2020;131.74
Mar 26, 2020;138.38
Mar 25, 2020;136.07
Mar 24, 2020;138.62
Mar 23, 2020;136.02
Mar 22, 2020;122.41
Mar 21, 2020;132.58
Mar 20, 2020;133.32
Mar 19, 2020;135.43
Mar 18, 2020;117.77
Mar 17, 2020;116.06
Mar 16, 2020;111.02
Mar 15, 2020;124.35
Mar 14, 2020;122.69
Mar 13, 2020;133.99
Mar 12, 2020;107.90
Mar 11, 2020;194.58
Mar 10, 2020;200.56
Mar 09, 2020;202.85
Mar 08, 2020;199.16
Mar 07, 2020;237.32
Mar 06, 2020;244.90
Mar 05, 2020;228.45
Mar 04, 2020;224.38
Mar 03, 2020;223.94
Mar 02, 2020;231.87
Mar 01, 2020;217.99
Feb 29, 2020;217.52
Feb 28, 2020;226.93
Feb 27, 2020;227.53
Feb 26, 2020;224.30
Feb 25, 2020;246.96
Feb 24, 2020;265.65
Feb 23, 2020;274.72
Feb 22, 2020;261.64
Feb 21, 2020;265.11
Feb 20, 2020;257.39
Feb 19, 2020;259.12
Feb 18, 2020;282.26
Feb 17, 2020;267.63
Feb 16, 2020;259.99
Feb 15, 2020;264.87
Feb 14, 2020;285.25
Feb 13, 2020;268.75
Feb 12, 2020;265.58
Feb 11, 2020;236.76
Feb 10, 2020;222.95
Feb 09, 2020;228.59
Feb 08, 2020;223.23
Feb 07, 2020;223.51
Feb 06, 2020;213.16
Feb 05, 2020;203.83
Feb 04, 2020;188.93
Feb 03, 2020;189.79
Feb 02, 2020;188.50
Feb 01, 2020;183.64
Jan 31, 2020;179.91
Jan 30, 2020;184.59
Jan 29, 2020;173.86
Jan 28, 2020;175.74
Jan 27, 2020;170.27
Jan 26, 2020;167.90
Jan 25, 2020;160.44
Jan 24, 2020;162.55
Jan 23, 2020;162.80
Jan 22, 2020;168.13
Jan 21, 2020;169.41
Jan 20, 2020;166.87
Jan 19, 2020;166.92
Jan 18, 2020;174.19
Jan 17, 2020;170.22
Jan 16, 2020;164.36
Jan 15, 2020;166.45
Jan 14, 2020;166.07
Jan 13, 2020;143.60
Jan 12, 2020;146.46
Jan 11, 2020;142.67
Jan 10, 2020;144.81
Jan 09, 2020;137.92
Jan 08, 2020;140.81
Jan 07, 2020;143.04
Jan 06, 2020;144.08
Jan 05, 2020;135.59
Jan 04, 2020;134.33
Jan 03, 2020;134.27
Jan 02, 2020;127.19
Jan 01, 2020;130.75
Dec 31, 2019;129.21
Dec 30, 2019;131.83
Dec 29, 2019;134.40
Dec 28, 2019;128.35
Dec 27, 2019;126.41
Dec 26, 2019;125.93
Dec 25, 2019;125.24
Dec 24, 2019;128.05
Dec 23, 2019;128.08
Dec 22, 2019;132.19
Dec 21, 2019;127.61
Dec 20, 2019;128.70
Dec 19, 2019;128.42
Dec 18, 2019;132.92
Dec 17, 2019;122.06
Dec 16, 2019;132.78
Dec 15, 2019;142.53
Dec 14, 2019;142.03
Dec 13, 2019;144.96
Dec 12, 2019;145.03
Dec 11, 2019;143.51
Dec 10, 2019;145.86
Dec 09, 2019;147.88
Dec 08, 2019;151.17
Dec 07, 2019;148.28
Dec 06, 2019;148.89
Dec 05, 2019;148.69
Dec 04, 2019;145.79
Dec 03, 2019;147.82
Dec 02, 2019;148.89
Dec 01, 2019;151.04
Nov 30, 2019;151.95
Nov 29, 2019;154.55
Nov 28, 2019;151.07
Nov 27, 2019;152.70
Nov 26, 2019;147.61
Nov 25, 2019;145.90
Nov 24, 2019;140.66
Nov 23, 2019;152.46
Nov 22, 2019;149.80
Nov 21, 2019;161.46
Nov 20, 2019;174.96
Nov 19, 2019;176.09
Nov 18, 2019;178.50
Nov 17, 2019;184.18
Nov 16, 2019;182.42
Nov 15, 2019;180.19
Nov 14, 2019;185.25
Nov 13, 2019;188.36
Nov 12, 2019;186.99
Nov 11, 2019;185.09
Nov 10, 2019;188.99
Nov 09, 2019;184.96
Nov 08, 2019;184.03
Nov 07, 2019;186.94
Nov 06, 2019;191.28
Nov 05, 2019;188.67
Nov 04, 2019;185.85
Nov 03, 2019;181.70
Nov 02, 2019;183.01
Nov 01, 2019;183.12
Oct 31, 2019;182.37
Oct 30, 2019;183.25
Oct 29, 2019;190.45
Oct 28, 2019;181.67
Oct 27, 2019;184.05
Oct 26, 2019;179.62
Oct 25, 2019;181.49
Oct 24, 2019;160.73
Oct 23, 2019;162.28
Oct 22, 2019;171.42
Oct 21, 2019;174.18
Oct 20, 2019;175.14
Oct 19, 2019;171.91
Oct 18, 2019;172.81
Oct 17, 2019;177.31
Oct 16, 2019;174.53
Oct 15, 2019;180.59
Oct 14, 2019;186.63
Oct 13, 2019;181.11
Oct 12, 2019;179.87
Oct 11, 2019;180.60
Oct 10, 2019;191.10
Oct 09, 2019;192.64
Oct 08, 2019;180.78
Oct 07, 2019;179.87
Oct 06, 2019;170.55
Oct 05, 2019;176.43
Oct 04, 2019;175.65
Oct 03, 2019;174.54
Oct 02, 2019;180.27
Oct 01, 2019;175.78
Sep 30, 2019;180.35
Sep 29, 2019;169.29
Sep 28, 2019;173.62
Sep 27, 2019;173.19
Sep 26, 2019;164.56
Sep 25, 2019;168.92
Sep 24, 2019;166.29
Sep 23, 2019;201.18
Sep 22, 2019;211.13
Sep 21, 2019;215.22
Sep 20, 2019;218.00
Sep 19, 2019;220.21
Sep 18, 2019;210.43
Sep 17, 2019;207.77
Sep 16, 2019;197.32
Sep 15, 2019;189.10
Sep 14, 2019;188.16
Sep 13, 2019;181.11
Sep 12, 2019;180.87
Sep 11, 2019;178.47
Sep 10, 2019;180.05
Sep 09, 2019;180.65
Sep 08, 2019;181.44
Sep 07, 2019;177.74
Sep 06, 2019;169.15
Sep 05, 2019;173.83
Sep 04, 2019;174.79
