,etherscan,opensea,owned,ethereums_spent,dollar_spent,ethereums_earned,dollar_earned,First_punk,Last_punk
2013,0xa98220,0,1,0.0,0.0,0.0,0.0,"Aug 21, 2021","Aug 21, 2021"
2014,0xd4718b,0,1,21.0,71849.0,0.0,0.0,"Jul 21, 2021","Jul 21, 2021"
2015,0x95fecf,0,1,0.0,0.0,0.0,0.0,none,none
2016,0xda24f0,0,1,160.19,548068.0,147.0,502940.0,"Aug 4, 2021","Aug 4, 2021"
2017,0x41ebc4,0,1,76.0,260023.0,0.0,0.0,"Aug 25, 2021","Aug 25, 2021"
2018,0x135966,0,1,49.25,168502.0,0.0,0.0,"Aug 12, 2021","Aug 12, 2021"
2019,0x171193,0,1,0.0,0.0,0.0,0.0,"Apr 18, 2021","Apr 18, 2021"
2020,0x167f15,0,1,25.95,88784.0,0.0,0.0,"Aug 23, 2021","Aug 23, 2021"
2021,0x1e9377,0,1,118.5,405431.0,0.0,0.0,none,none
2022,0xfaf20a,0,1,5.85,20015.0,0.0,0.0,"Feb 4, 2021","Feb 4, 2021"
2023,0x42f3f7,0,1,451.44,1540000.0,591.54,2020000.0,"Apr 22, 2021","Aug 1, 2021"
2024,0x519ac7,0,1,0.0,0.0,0.0,0.0,none,none
2025,0x733428,0,1,145.0,496097.0,0.0,0.0,none,none
2026,0x5375f6,0,1,21.0,71849.0,0.0,0.0,"May 4, 2021","May 4, 2021"
2027,0xa52877,0,1,148.0,506361.0,0.0,0.0,none,none
2028,0x8c794d,0,1,0.0,0.0,0.0,0.0,"May 1, 2021","May 1, 2021"
2029,0x3a172e,0,1,41.0,140276.0,0.0,0.0,"Aug 4, 2021","Aug 4, 2021"
2030,0x3ca987,0,1,33.0,112905.0,0.0,0.0,"Jun 20, 2021","Jun 20, 2021"
2031,0xbb322d,0,1,10.0,34214.0,0.0,0.0,"Apr 6, 2021","Apr 6, 2021"
2032,0x6a5aff,0,1,340.0,1160000.0,0.0,0.0,none,none
2033,0x099023,0,1,33.5,114616.0,0.0,0.0,"Aug 2, 2021","Aug 2, 2021"
2034,0x913645,0,1,69.33,237203.0,0.0,0.0,"Aug 21, 2021","Aug 21, 2021"
2035,0x4ffef8,0,1,21.0,71849.0,0.0,0.0,"Mar 27, 2021","Mar 27, 2021"
2036,0xdd870a,0,1,0.0,0.0,0.0,0.0,"Mar 15, 2021","Mar 15, 2021"
2037,0x6b6675,0,1,342.69,1170000.0,0.0,0.0,none,none
2038,0xd42fab,0,1,56.99,194983.0,0.0,0.0,"Aug 6, 2021","Aug 6, 2021"
2039,0x5c407c,0,1,0.0,0.0,0.0,0.0,none,none
2040,0x0ec629,0,1,120.99,413950.0,93.62,320308.0,"Mar 20, 2021","Mar 20, 2021"
2041,0xb9c29b,0,1,26.0,88955.0,0.0,0.0,"Mar 1, 2021","Mar 1, 2021"
2042,0xf39284,0,1,157.13,537588.0,166.25,568801.0,"Aug 2, 2021","Aug 2, 2021"
2043,0xf23a87,0,1,50.0,171068.0,0.0,0.0,"Aug 6, 2021","Aug 6, 2021"
2044,0x7fd258,0,1,0.0,0.0,0.0,0.0,none,none
2045,0xf1670f,0,1,0.0,0.0,0.0,0.0,"May 3, 2020","May 3, 2020"
2046,0xfd03e2,0,1,40.0,136854.0,0.0,0.0,"Aug 1, 2021","Aug 1, 2021"
2047,0xf5f26a,0,1,0.99,3387.0,0.0,0.0,"Sep 10, 2020","Sep 10, 2020"
2048,0x03ff24,0,1,38.5,131722.0,0.0,0.0,"Aug 1, 2021","Aug 1, 2021"
2049,0x78ab74,0,1,148.0,506361.0,0.0,0.0,none,none
2050,0x32b0d0,0,1,21.98,75201.0,0.0,0.0,"Apr 27, 2021","Apr 27, 2021"
2051,0xe0e6a5,0,1,0.0,0.0,0.0,0.0,none,none
2052,0x253618,0,1,65.0,222388.0,0.0,0.0,"Aug 23, 2021","Aug 23, 2021"
2053,0x077777,0,1,27.99,95764.0,0.0,0.0,"Mar 15, 2021","Mar 15, 2021"
2054,0xcc0096,0,1,145.0,496097.0,0.0,0.0,none,none
2055,0xa49f53,0,1,0.0,0.0,0.0,0.0,"Aug 1, 2021","Aug 1, 2021"
2056,0xc84a3e,0,1,34.5,118037.0,0.0,0.0,"Aug 4, 2021","Aug 4, 2021"
2057,0x7093f8,0,1,28.5,97509.0,0.0,0.0,"Mar 15, 2021","Mar 15, 2021"
2058,0x5b93ff,1,1,1.1,3763.0,0.0,0.0,"Jul 31, 2020","Jul 31, 2020"
2059,0x89d1d8,0,1,135.0,461884.0,0.0,0.0,none,none
2060,0xeb8140,0,1,136.39,466639.0,100.0,342136.0,"Apr 21, 2021","Apr 21, 2021"
2061,0xf55cfe,0,1,22.88,78281.0,0.0,0.0,"Mar 4, 2021","Mar 4, 2021"
2062,0x399399,0,1,25.99,88921.0,0.0,0.0,"Mar 21, 2021","Mar 21, 2021"
2063,0xe51309,0,1,0.0,0.0,0.0,0.0,none,none
2064,0x000e8c,0,1,26.4,90324.0,0.0,0.0,"Mar 1, 2021","Mar 1, 2021"
2065,0x69ecc3,0,1,65.0,222388.0,0.0,0.0,"Aug 1, 2021","Aug 1, 2021"
2066,0x81ad69,0,1,0.0,0.0,34.8,119063.0,"Jun 30, 2021","Jul 16, 2021"
2067,0x2c123f,0,1,2.15,7356.0,0.0,0.0,"Sep 21, 2020","Sep 21, 2020"
2068,0x1adc09,0,1,0.0,0.0,0.0,0.0,"Jul 26, 2021","Jul 26, 2021"
2069,0xf6b185,0,1,74.0,253181.0,0.0,0.0,"Aug 23, 2021","Aug 23, 2021"
2070,0x59e1dc,0,1,0.0,0.0,0.0,0.0,none,none
2071,0x1b523d,0,1,32.88,112494.0,0.0,0.0,"Apr 26, 2021","Apr 26, 2021"
2072,0xa86fd3,0,1,25.25,86389.0,0.0,0.0,"Feb 22, 2021","Feb 22, 2021"
2073,0x4df765,0,1,26.99,92343.0,0.0,0.0,"May 1, 2021","May 1, 2021"
2074,0x38c688,0,1,332.17,1140000.0,0.0,0.0,none,none
2075,0xcedec4,0,1,16.0,54742.0,0.0,0.0,"Jun 3, 2021","Jun 3, 2021"
2076,0x40ac98,0,1,56.9,194675.0,29.49,100896.0,"Jul 9, 2021","Aug 1, 2021"
2077,0xfa1c02,1,1,1.63,5577.0,8.5,29082.0,"Jan 20, 2020","Jan 20, 2020"
2078,0xc88542,0,1,50.0,171068.0,0.0,0.0,"Aug 6, 2021","Aug 6, 2021"
